case,run,seed,area_cells,buildings,perimeter_m,compactness
Esperanza Medium Uncertainty,343,148561312,288537,4139,951468.784979996,0.0036046640537553552
Esperanza Medium Uncertainty,344,1147612058,327620,6574,1170118.2285393341,0.002706221184709751
Esperanza Medium Uncertainty,345,4050697988,301442,5373,1047897.083608738,0.003104694502600371
Esperanza Medium Uncertainty,346,4033921178,306448,6462,1120453.7848524463,0.0027607130540996997
Esperanza Medium Uncertainty,347,3559361404,271022,5702,986675.4494590244,0.003148533183995992
Esperanza Medium Uncertainty,348,3844831935,318799,6128,1118595.7026065548,0.0028815292396173592
Esperanza Medium Uncertainty,349,2405929143,312748,6114,1101530.2697133,0.002915103928331338
Esperanza Medium Uncertainty,350,3563430820,323047,4338,1057644.8628166,0.003266166778991036
Esperanza Medium Uncertainty,351,2951082836,286016,5879,1055998.5468058006,0.002900788473164299
Esperanza Medium Uncertainty,352,2980286020,276657,5857,1013313.4429471318,0.0030472383709697487
Esperanza Medium Uncertainty,353,3254467609,296260,5508,1020659.2416396512,0.003216354038218913
Esperanza Medium Uncertainty,354,3733362461,307979,5277,1089674.4796862982,0.002933458296131264
Esperanza Medium Uncertainty,355,3555375447,287325,6095,1051569.875814878,0.0029386611802196833
Esperanza Medium Uncertainty,356,847876375,296251,7428,1125491.501299075,0.0026450126812381258
Esperanza Medium Uncertainty,357,1765342567,302834,6872,1115555.4082340405,0.00275216656467325
Esperanza Medium Uncertainty,358,2040146261,318711,7334,1183489.2458448615,0.002573479983086949
Esperanza Medium Uncertainty,359,1934945480,295324,5976,1053361.7134767175,0.0030102048941024156
Esperanza Medium Uncertainty,360,1694886444,330222,5584,1153984.5618811673,0.0028045189522088363
Esperanza Medium Uncertainty,361,1612640831,289650,6269,1062136.851997458,0.0029037883027239735
Esperanza Medium Uncertainty,362,4269893664,315468,7996,1208997.3821864654,0.00244093921675962
Esperanza Medium Uncertainty,363,1806641205,299016,6463,1096969.6896337883,0.002810331462680373
Esperanza Medium Uncertainty,364,804143995,283276,4679,965267.9646236819,0.003438478940060044
Esperanza Medium Uncertainty,365,1343896447,289178,7262,1126152.3844166214,0.0025788334915657373
Esperanza Medium Uncertainty,366,2481812260,288595,6351,1075634.4169250685,0.002821056578291169
Esperanza Medium Uncertainty,367,236306373,329165,6086,1153933.6073368753,0.0027957889244323015
Esperanza Medium Uncertainty,368,2068127190,293709,5248,1023658.7243213688,0.0031699998656314924
Esperanza Medium Uncertainty,369,631599659,295650,5935,1060343.6138997907,0.002973972898826011
Esperanza Medium Uncertainty,370,644374759,310284,6182,1119960.1095287658,0.002797735452783074
Esperanza Medium Uncertainty,371,1831873554,292819,6233,1093845.059765812,0.002767833791761498
Esperanza Medium Uncertainty,372,2434246438,306382,6747,1143035.2307184697,0.0026521396438965975
Esperanza Medium Uncertainty,373,1677999200,271064,5665,984967.5814933805,0.003159950960884496
Esperanza Medium Uncertainty,374,1821206406,312513,5898,1113261.3671110934,0.0028518467555044024
Esperanza Medium Uncertainty,375,3945846169,268552,5112,932936.8217956914,0.0034896052018808113
Esperanza Medium Uncertainty,376,1791512623,288372,6617,1086517.5662649523,0.002762688746327954
Esperanza Medium Uncertainty,377,4267207166,281529,4902,983795.0836597591,0.0032897751467893554
Esperanza Medium Uncertainty,378,904170754,300429,3966,1002273.7459851657,0.0033823731402738526
Esperanza Medium Uncertainty,379,4193190598,300053,6911,1114745.0424347764,0.0027308588137181593
Esperanza Medium Uncertainty,380,1744834534,291876,5264,1026323.0598168311,0.0031338816070262637
Esperanza Medium Uncertainty,381,3532639689,295829,6649,1114506.291351588,0.0026935687826966535
Esperanza Medium Uncertainty,382,1137852313,317701,5236,1094112.4104131728,0.0030015602604407912
Esperanza Medium Uncertainty,383,1687054828,289712,5399,1017093.6572273776,0.0031673566301707898
Esperanza Medium Uncertainty,384,2423518980,288139,7084,1102479.2437422574,0.002681103468273583
Esperanza Medium Uncertainty,385,4188020474,298977,6302,1069658.0208220005,0.0029552909856872434
Esperanza Medium Uncertainty,386,756001974,328143,5832,1149014.6419734354,0.0028110229529051014
Esperanza Medium Uncertainty,387,4230196861,309132,5291,1076533.0164892403,0.0030167660321535304
