VALUE,FBFM40,R,G,B,RED,GREEN,BLUE,F_R,F_G,F_B,F_RED,F_GREEN,F_BLUE,Num,FF_RED,FF_GREEN,FF_BLUE
,,,,,,,,,,,,,,122,0.466666667,0.466666667,0.101960784
,,,,,,,,,,,,,,123,0.494117647,0.533333333,0.203921569
,,,,,,,,,,,,,,124,0.4,0.4,0
,,,,,,,,,,,,,,125,0,0,0
,,,,,,,,,,,,,,126,0,0,0
,,,,,,,,,,,,,,127,0,0,0
,,,,,,,,,,,,,,128,0,0,0
,,,,,,,,,,,,,,129,0,0,0
,,,,,,,,,,,,,,130,0,0,0
,,,,,,,,,,,,,,131,0,0,0
,,,,,,,,,,,,,,132,0,0,0
,,,,,,,,,,,,,,133,0,0,0
,,,,,,,,,,,,,,134,0,0,0
,,,,,,,,,,,,,,135,0,0,0
,,,,,,,,,,,,,,136,0,0,0
,,,,,,,,,,,,,,137,0,0,0
,,,,,,,,,,,,,,138,0,0,0
,,,,,,,,,,,,,,139,0,0,0
,,,,,,,,,,,,,,140,0,0,0
,,,,,,,,,,,,,,141,0.796078431,0.4,0
,,,,,,,,,,,,,,142,0.596078431,0.294117647,0
,,,,,,,,,,,,,,143,0.694117647,0.352941176,0
,,,,,,,,,,,,,,144,0.423529412,0.211764706,0.062745098
,,,,,,,,,,,,,,145,0.450980392,0.223529412,0.125490196
,,,,,,,,,,,,,,146,0.474509804,0.235294118,0.188235294
,,,,,,,,,,,,,,147,0.501960784,0.250980392,0.250980392
,,,,,,,,,,,,,,148,0.501960784,0.125490196,0.125490196
,,,,,,,,,,,,,,149,0.4,0,0
,,,,,,,,,,,,,,150,0,0,0
,,,,,,,,,,,,,,151,0,0,0
,,,,,,,,,,,,,,152,0,0,0
,,,,,,,,,,,,,,153,0,0,0
,,,,,,,,,,,,,,154,0,0,0
,,,,,,,,,,,,,,155,0,0,0
,,,,,,,,,,,,,,156,0,0,0
,,,,,,,,,,,,,,157,0,0,0
,,,,,,,,,,,,,,158,0,0,0
,,,,,,,,,,,,,,159,0,0,0
,,,,,,,,,,,,,,160,0,0,0
,,,,,,,,,,,,,,161,0.850980392,0.996078431,0.62745098
,,,,,,,,,,,,,,162,0.678431373,0.874509804,0.501960784
,,,,,,,,,,,,,,163,0.168627451,0.517647059,0.125490196
,,,,,,,,,,,,,,164,0.337254902,0.635294118,0.250980392
,,,,,,,,,,,,,,165,0,0.4,0
,,,,,,,,,,,,,,166,0,0,0
,,,,,,,,,,,,,,167,0,0,0
,,,,,,,,,,,,,,168,0,0,0
,,,,,,,,,,,,,,169,0,0,0
,,,,,,,,,,,,,,170,0,0,0
,,,,,,,,,,,,,,171,0,0,0
,,,,,,,,,,,,,,172,0,0,0
,,,,,,,,,,,,,,173,0,0,0
,,,,,,,,,,,,,,174,0,0,0
,,,,,,,,,,,,,,175,0,0,0
,,,,,,,,,,,,,,176,0,0,0
,,,,,,,,,,,,,,177,0,0,0
,,,,,,,,,,,,,,178,0,0,0
,,,,,,,,,,,,,,179,0,0,0
,,,,,,,,,,,,,,180,0,0,0
,,,,,,,,,,,,,,181,0.666666667,0.835294118,1
,,,,,,,,,,,,,,182,0,1,1
,,,,,,,,,,,,,,183,0.533333333,0.717647059,0.898039216
,,,,,,,,,,,,,,184,0.266666667,0.482352941,0.698039216
,,,,,,,,,,,,,,185,0.133333333,0.364705882,0.6
,,,,,,,,,,,,,,186,0,0.756862745,0.756862745
,,,,,,,,,,,,,,187,0,0.250980392,0.501960784
,,,,,,,,,,,,,,188,0,0.639215686,0.639215686
,,,,,,,,,,,,,,189,0,0.396078431,0.396078431
,,,,,,,,,,,,,,190,0,0,0
,,,,,,,,,,,,,,191,0,0,0
,,,,,,,,,,,,,,192,0,0,0
,,,,,,,,,,,,,,193,0,0,0
,,,,,,,,,,,,,,194,0,0,0
,,,,,,,,,,,,,,195,0,0,0
,,,,,,,,,,,,,,196,0,0,0
,,,,,,,,,,,,,,197,0,0,0
,,,,,,,,,,,,,,198,0,0,0
,,,,,,,,,,,,,,199,0,0,0
,,,,,,,,,,,,,,200,0,0,0
,,,,,,,,,,,,,,201,0.874509804,0.415686275,0.874509804
,,,,,,,,,,,,,,202,0.623529412,0.247058824,0.623529412
,,,,,,,,,,,,,,203,0.37254902,0.082352941,0.37254902
,,,,,,,,,,,,,,204,0.247058824,0,0.247058824
